Problem,Variable Ordering,Pre-processing,Measure,Data
puget6,None,SAC,Backtracked left branches,122
puget6,None,SAC,Average left branch length,15.959016
puget6,None,SAC,Longest backtracked left branch,166.000000
puget6,None,SAC,Longest chain of successful assignments,6
puget6,None,SAC,First ten assignments backtracked,5
puget6,None,SACBounds,Assignments,549
puget6,None,SACBounds,Solutions,1
puget6,None,SACBounds,Dead Ends,492
puget6,None,SACBounds,Backtracks,963
puget6,None,SACBounds,Backtracked left branches,122
puget6,None,SACBounds,Average left branch length,15.959016
puget6,None,SACBounds,Longest backtracked left branch,166.000000
puget6,None,SACBounds,Longest chain of successful assignments,6
puget6,None,SACBounds,First ten assignments backtracked,5
puget6,None,SSAC,Assignments,546
puget6,None,SSAC,Solutions,1
puget6,None,SSAC,Dead Ends,490
puget6,None,SSAC,Backtracks,960
puget6,None,SSAC,Backtracked left branches,121
puget6,None,SSAC,Average left branch length,16.082645
puget6,None,SSAC,Longest backtracked left branch,166.000000
puget6,None,SSAC,Longest chain of successful assignments,6
puget6,None,SSAC,First ten assignments backtracked,4
puget6,None,SSACBounds,Assignments,546
puget6,None,SSACBounds,Solutions,1
puget6,None,SSACBounds,Dead Ends,490
puget6,None,SSACBounds,Backtracks,960
puget6,None,SSACBounds,Backtracked left branches,121
puget6,None,SSACBounds,Average left branch length,16.082645
puget6,None,SSACBounds,Longest backtracked left branch,166.000000
puget6,None,SSACBounds,Longest chain of successful assignments,6
puget6,None,SSACBounds,First ten assignments backtracked,4
puget6,sdf,GAC,Assignments,549
puget6,sdf,GAC,Solutions,1
puget6,sdf,GAC,Dead Ends,492
puget6,sdf,GAC,Backtracks,963
puget6,sdf,GAC,Backtracked left branches,122
puget6,sdf,GAC,Average left branch length,15.959016
puget6,sdf,GAC,Longest backtracked left branch,166.000000
puget6,sdf,GAC,Longest chain of successful assignments,6
puget6,sdf,GAC,First ten assignments backtracked,5
puget6,sdf,None,Assignments,549
puget6,sdf,None,Solutions,1
puget6,sdf,None,Dead Ends,492
puget6,sdf,None,Backtracks,963
puget6,sdf,None,Backtracked left branches,122
puget6,sdf,None,Average left branch length,15.959016
puget6,sdf,None,Longest backtracked left branch,166.000000
puget6,sdf,None,Longest chain of successful assignments,6
puget6,sdf,None,First ten assignments backtracked,5
puget6,sdf,SAC,Assignments,549
puget6,sdf,SAC,Solutions,1
puget6,sdf,SAC,Dead Ends,492
puget6,sdf,SAC,Backtracks,963
puget6,sdf,SAC,Backtracked left branches,122
puget6,sdf,SAC,Average left branch length,15.959016
puget6,sdf,SAC,Longest backtracked left branch,166.000000
puget6,sdf,SAC,Longest chain of successful assignments,6
puget6,sdf,SAC,First ten assignments backtracked,5
puget6,sdf,SACBounds,Assignments,549
puget6,sdf,SACBounds,Solutions,1
puget6,sdf,SACBounds,Dead Ends,492
puget6,sdf,SACBounds,Backtracks,963
puget6,sdf,SACBounds,Backtracked left branches,122
puget6,sdf,SACBounds,Average left branch length,15.959016
puget6,sdf,SACBounds,Longest backtracked left branch,166.000000
puget6,sdf,SACBounds,Longest chain of successful assignments,6
puget6,sdf,SACBounds,First ten assignments backtracked,5
puget6,sdf,SSAC,Assignments,546
puget6,sdf,SSAC,Solutions,1
puget6,sdf,SSAC,Dead Ends,490
puget6,sdf,SSAC,Backtracks,960
puget6,sdf,SSAC,Backtracked left branches,121
puget6,sdf,SSAC,Average left branch length,16.082645
puget6,sdf,SSAC,Longest backtracked left branch,166.000000
puget6,sdf,SSAC,Longest chain of successful assignments,6
puget6,sdf,SSAC,First ten assignments backtracked,4
puget6,sdf,SSACBounds,Assignments,546
puget6,sdf,SSACBounds,Solutions,1
puget6,sdf,SSACBounds,Dead Ends,490
puget6,sdf,SSACBounds,Backtracks,960
puget6,sdf,SSACBounds,Backtracked left branches,121
puget6,sdf,SSACBounds,Average left branch length,16.082645
puget6,sdf,SSACBounds,Longest backtracked left branch,166.000000
puget6,sdf,SSACBounds,Longest chain of successful assignments,6
puget6,sdf,SSACBounds,First ten assignments backtracked,4
puget6,srf,GAC,Assignments,549
puget6,srf,GAC,Solutions,1
puget6,srf,GAC,Dead Ends,492
puget6,srf,GAC,Backtracks,963
puget6,srf,GAC,Backtracked left branches,122
puget6,srf,GAC,Average left branch length,15.959016
puget6,srf,GAC,Longest backtracked left branch,166.000000
puget6,srf,GAC,Longest chain of successful assignments,6
puget6,srf,GAC,First ten assignments backtracked,5
puget6,srf,None,Assignments,549
puget6,srf,None,Solutions,1
puget6,srf,None,Dead Ends,492
puget6,srf,None,Backtracks,963
puget6,srf,None,Backtracked left branches,122
puget6,srf,None,Average left branch length,15.959016
puget6,srf,None,Longest backtracked left branch,166.000000
puget6,srf,None,Longest chain of successful assignments,6
puget6,srf,None,First ten assignments backtracked,5
puget6,srf,SAC,Assignments,549
puget6,srf,SAC,Solutions,1
puget6,srf,SAC,Dead Ends,492
puget6,srf,SAC,Backtracks,963
puget6,srf,SAC,Backtracked left branches,122
puget6,srf,SAC,Average left branch length,15.959016
puget6,srf,SAC,Longest backtracked left branch,166.000000
puget6,srf,SAC,Longest chain of successful assignments,6
puget6,srf,SAC,First ten assignments backtracked,5
puget6,srf,SACBounds,Assignments,549
puget6,srf,SACBounds,Solutions,1
puget6,srf,SACBounds,Dead Ends,492
puget6,srf,SACBounds,Backtracks,963
puget6,srf,SACBounds,Backtracked left branches,122
puget6,srf,SACBounds,Average left branch length,15.959016
puget6,srf,SACBounds,Longest backtracked left branch,166.000000
puget6,srf,SACBounds,Longest chain of successful assignments,6
puget6,srf,SACBounds,First ten assignments backtracked,5
puget6,srf,SSAC,Assignments,546
puget6,srf,SSAC,Solutions,1
puget6,srf,SSAC,Dead Ends,490
puget6,srf,SSAC,Backtracks,960
puget6,srf,SSAC,Backtracked left branches,121
puget6,srf,SSAC,Average left branch length,16.082645
puget6,srf,SSAC,Longest backtracked left branch,166.000000
puget6,srf,SSAC,Longest chain of successful assignments,6
puget6,srf,SSAC,First ten assignments backtracked,4
puget6,srf,SSACBounds,Assignments,546
puget6,srf,SSACBounds,Solutions,1
puget6,srf,SSACBounds,Dead Ends,490
puget6,srf,SSACBounds,Backtracks,960
puget6,srf,SSACBounds,Backtracked left branches,121
puget6,srf,SSACBounds,Average left branch length,16.082645
puget6,srf,SSACBounds,Longest backtracked left branch,166.000000
puget6,srf,SSACBounds,Longest chain of successful assignments,6
puget6,srf,SSACBounds,First ten assignments backtracked,4
puget6,static,GAC,Assignments,549
puget6,static,GAC,Solutions,1
puget6,static,GAC,Dead Ends,492
puget6,static,GAC,Backtracks,963
puget6,static,GAC,Backtracked left branches,122
puget6,static,GAC,Average left branch length,15.959016
puget6,static,GAC,Longest backtracked left branch,166.000000
puget6,static,GAC,Longest chain of successful assignments,6
puget6,static,GAC,First ten assignments backtracked,5
puget6,static,None,Assignments,549
puget6,static,None,Solutions,1
puget6,static,None,Dead Ends,492
puget6,static,None,Backtracks,963
puget6,static,None,Backtracked left branches,122
puget6,static,None,Average left branch length,15.959016
puget6,static,None,Longest backtracked left branch,166.000000
puget6,static,None,Longest chain of successful assignments,6
puget6,static,None,First ten assignments backtracked,5
puget6,static,SAC,Assignments,549
puget6,static,SAC,Solutions,1
puget6,static,SAC,Dead Ends,492
puget6,static,SAC,Backtracks,963
puget6,static,SAC,Backtracked left branches,122
puget6,static,SAC,Average left branch length,15.959016
puget6,static,SAC,Longest backtracked left branch,166.000000
puget6,static,SAC,Longest chain of successful assignments,6
puget6,static,SAC,First ten assignments backtracked,5
puget6,static,SACBounds,Assignments,549
puget6,static,SACBounds,Solutions,1
puget6,static,SACBounds,Dead Ends,492
puget6,static,SACBounds,Backtracks,963
puget6,static,SACBounds,Backtracked left branches,122
puget6,static,SACBounds,Average left branch length,15.959016
puget6,static,SACBounds,Longest backtracked left branch,166.000000
puget6,static,SACBounds,Longest chain of successful assignments,6
puget6,static,SACBounds,First ten assignments backtracked,5
puget6,static,SSAC,Assignments,546
puget6,static,SSAC,Solutions,1
puget6,static,SSAC,Dead Ends,490
puget6,static,SSAC,Backtracks,960
puget6,static,SSAC,Backtracked left branches,121
puget6,static,SSAC,Average left branch length,16.082645
puget6,static,SSAC,Longest backtracked left branch,166.000000
puget6,static,SSAC,Longest chain of successful assignments,6
puget6,static,SSAC,First ten assignments backtracked,4
puget6,static,SSACBounds,Assignments,546
puget6,static,SSACBounds,Solutions,1
puget6,static,SSACBounds,Dead Ends,490
puget6,static,SSACBounds,Backtracks,960
puget6,static,SSACBounds,Backtracked left branches,121
puget6,static,SSACBounds,Average left branch length,16.082645
puget6,static,SSACBounds,Longest backtracked left branch,166.000000
puget6,static,SSACBounds,Longest chain of successful assignments,6
puget6,static,SSACBounds,First ten assignments backtracked,4
