Problem,Variable Ordering,Pre-processing,Measure,Data
puget10,sdf,None,Longest backtracked left branch,181.000000
puget10,sdf,None,Longest chain of successful assignments,12
puget10,sdf,None,First ten assignments backtracked,6
puget10,sdf,SAC,Assignments,593
puget10,sdf,SAC,Solutions,1
puget10,sdf,SAC,Dead Ends,529
puget10,sdf,SAC,Backtracks,1040
puget10,sdf,SAC,Backtracked left branches,120
puget10,sdf,SAC,Average left branch length,15.275000
puget10,sdf,SAC,Longest backtracked left branch,181.000000
puget10,sdf,SAC,Longest chain of successful assignments,12
puget10,sdf,SAC,First ten assignments backtracked,6
puget10,sdf,SACBounds,Assignments,593
puget10,sdf,SACBounds,Solutions,1
puget10,sdf,SACBounds,Dead Ends,529
puget10,sdf,SACBounds,Backtracks,1040
puget10,sdf,SACBounds,Backtracked left branches,120
puget10,sdf,SACBounds,Average left branch length,15.275000
puget10,sdf,SACBounds,Longest backtracked left branch,181.000000
puget10,sdf,SACBounds,Longest chain of successful assignments,12
puget10,sdf,SACBounds,First ten assignments backtracked,6
puget10,sdf,SSAC,Assignments,582
puget10,sdf,SSAC,Solutions,1
puget10,sdf,SSAC,Dead Ends,519
puget10,sdf,SSAC,Backtracks,1021
puget10,sdf,SSAC,Backtracked left branches,117
puget10,sdf,SSAC,Average left branch length,15.564103
puget10,sdf,SSAC,Longest backtracked left branch,181.000000
puget10,sdf,SSAC,Longest chain of successful assignments,12
puget10,sdf,SSAC,First ten assignments backtracked,3
puget10,sdf,SSACBounds,Assignments,582
puget10,sdf,SSACBounds,Solutions,1
puget10,sdf,SSACBounds,Dead Ends,519
puget10,sdf,SSACBounds,Backtracks,1021
puget10,sdf,SSACBounds,Backtracked left branches,117
puget10,sdf,SSACBounds,Average left branch length,15.564103
puget10,sdf,SSACBounds,Longest backtracked left branch,181.000000
puget10,sdf,SSACBounds,Longest chain of successful assignments,12
puget10,sdf,SSACBounds,First ten assignments backtracked,3
puget10,srf,GAC,Assignments,596
puget10,srf,GAC,Solutions,1
puget10,srf,GAC,Dead Ends,529
puget10,srf,GAC,Backtracks,1040
puget10,srf,GAC,Backtracked left branches,120
puget10,srf,GAC,Average left branch length,15.275000
puget10,srf,GAC,Longest backtracked left branch,181.000000
puget10,srf,GAC,Longest chain of successful assignments,12
puget10,srf,GAC,First ten assignments backtracked,6
puget10,srf,None,Assignments,596
puget10,srf,None,Solutions,1
puget10,srf,None,Dead Ends,529
puget10,srf,None,Backtracks,1040
puget10,srf,None,Backtracked left branches,120
