:TYPE,:START_ID,action,:END_ID
EQUALS,35,AnyVarRef:Bool:Bool:19 = 0,36
NOT_EQUALS,35,AnyVarRef:Bool:Bool:19 != 0,38
BACKTRACK,35,,34
EQUALS,36,AnyVarRef:Bool:Bool:20 = 0,37
NOT_EQUALS,36,AnyVarRef:Bool:Bool:20 != 0,Dead_End_30
BACKTRACK,36,,35
EQUALS,37,AnyVarRef:Bool:Bool:21 = 0,Dead_End_28
NOT_EQUALS,37,AnyVarRef:Bool:Bool:21 != 0,Dead_End_29
BACKTRACK,37,,36
BACKTRACK,Dead_End_28,,37
BACKTRACK,Dead_End_29,,37
BACKTRACK,Dead_End_30,,36
EQUALS,38,AnyVarRef:Bool:Bool:20 = 0,39
NOT_EQUALS,38,AnyVarRef:Bool:Bool:20 != 0,Dead_End_36
BACKTRACK,38,,35
EQUALS,39,AnyVarRef:Bool:Bool:21 = 0,40
NOT_EQUALS,39,AnyVarRef:Bool:Bool:21 != 0,Dead_End_35
BACKTRACK,39,,38
EQUALS,40,AnyVarRef:Bool:Bool:22 = 0,41
NOT_EQUALS,40,AnyVarRef:Bool:Bool:22 != 0,Dead_End_34
BACKTRACK,40,,39
EQUALS,41,AnyVarRef:Bool:Bool:23 = 0,Dead_End_31
NOT_EQUALS,41,AnyVarRef:Bool:Bool:23 != 0,42
BACKTRACK,41,,40
BACKTRACK,Dead_End_31,,41
EQUALS,42,AnyVarRef:Bool:Bool:24 = 0,Dead_End_32
NOT_EQUALS,42,AnyVarRef:Bool:Bool:24 != 0,Dead_End_33
BACKTRACK,42,,41
BACKTRACK,Dead_End_32,,42
BACKTRACK,Dead_End_33,,42
BACKTRACK,Dead_End_34,,40
BACKTRACK,Dead_End_35,,39
BACKTRACK,Dead_End_36,,38
EQUALS,43,AnyVarRef:Bool:Bool:22 = 0,Dead_End_37
NOT_EQUALS,43,AnyVarRef:Bool:Bool:22 != 0,Dead_End_38
BACKTRACK,43,,34
BACKTRACK,Dead_End_37,,43
BACKTRACK,Dead_End_38,,43
EQUALS,44,AnyVarRef:Bool:Bool:18 = 0,45
NOT_EQUALS,44,AnyVarRef:Bool:Bool:18 != 0,47
EQUALS,45,AnyVarRef:Bool:Bool:19 = 0,Dead_End_39
NOT_EQUALS,45,AnyVarRef:Bool:Bool:19 != 0,46
BACKTRACK,45,,44
BACKTRACK,Dead_End_39,,45
EQUALS,46,AnyVarRef:Bool:Bool:22 = 0,Dead_End_40
NOT_EQUALS,46,AnyVarRef:Bool:Bool:22 != 0,Dead_End_41
BACKTRACK,46,,45
BACKTRACK,Dead_End_40,,46
BACKTRACK,Dead_End_41,,46
EQUALS,47,AnyVarRef:Bool:Bool:28 = 0,48
EQUALS,48,AnyVarRef:Bool:Bool:29 = 0,49
EQUALS,49,AnyVarRef:Bool:Bool:30 = 0,50
EQUALS,50,AnyVarRef:Bool:Bool:31 = 0,51
EQUALS,51,AnyVarRef:Bool:Bool:34 = 0,52
NOT_EQUALS,51,AnyVarRef:Bool:Bool:34 != 0,62
EQUALS,52,AnyVarRef:Bool:Bool:38 = 0,53
NOT_EQUALS,52,AnyVarRef:Bool:Bool:38 != 0,61
BACKTRACK,52,,51
EQUALS,53,AnyVarRef:Bool:Bool:39 = 0,54
NOT_EQUALS,53,AnyVarRef:Bool:Bool:39 != 0,56
BACKTRACK,53,,52
EQUALS,54,AnyVarRef:Bool:Bool:42 = 0,55
NOT_EQUALS,54,AnyVarRef:Bool:Bool:42 != 0,Dead_End_44
BACKTRACK,54,,53
EQUALS,55,AnyVarRef:Bool:Bool:43 = 0,Dead_End_42
